bus,station,v_nom_kV,jurisdiction,x,y,has_coordinates,ac_component,is_wind_node,wind_farms,wind_MW,other_generators,other_gen_MW,load_MW
2151,DROMBEG,110.0,IE,-9.535199899999999,52.43461295,False,0,True,1,25.2,1,50.0,0.0
2161,DOON,110.0,IE,-7.6676498,52.3836007,True,0,False,0,0.0,2,12.99,31.92
2171,KNOCKALOUGH,110.0,IE,-9.2491169,53.3058138,True,0,True,1,33.6,0,0.0,0.0
2181,DRYBRIDGE,110.0,IE,-6.4010215,53.7247696,True,0,True,4,5.949999999999999,4,15.98,95.4
2191,DONORE,110.0,IE,-6.3878298,53.7067579,False,0,False,0,0.0,0,0.0,14.93
2202,DUNSTOWN,220.0,IE,-6.6881005,53.1543743,True,0,False,0,0.0,0,0.0,0.0
2204,DUNSTOWN,380.0,IE,-6.6881005,53.1543743,True,0,False,0,0.0,0,0.0,0.0
2211,DENNISTOWN,110.0,IE,-6.5394499,52.3403641,False,0,False,0,0.0,1,101.1,0.0
2212,DUNSTOWN,220.0,IE,-6.6881005,53.1543743,True,0,False,0,0.0,0,0.0,0.0
2221,DUNMANWAY,110.0,IE,-9.0897487,51.7232312,True,0,True,4,27.17,1,1.0,0.0
2225,DUNMANWAY,110.0,IE,-9.0897487,51.7232312,True,0,True,2,22.95,0,0.0,39.68
2231,DERRYBRIEN,110.0,IE,-8.5499195,53.0367354,False,0,True,1,59.5,0,0.0,0.0
2241,DALLOW,110.0,IE,-7.928076,53.1259869,True,0,True,5,26.03,0,0.0,21.83
2251,DARDISTOWN,110.0,IE,-6.2342099,53.4212033,True,0,False,0,0.0,0,0.0,10.86
2261,DERRYIRON,110.0,IE,-7.2138473,53.3581344,True,0,False,0,0.0,0,0.0,0.0
2271,DERRYLAHAN,110.0,IE,-8.0377635,53.2710643,False,0,False,0,0.0,1,65.0,0.0
2281,DALTON_A1,110.0,IE,-9.2692746,53.8665266,False,0,True,1,40.8,1,4.0,0.0
2301,DUNFIRTH,110.0,IE,-6.8293304,53.3880882,True,0,False,0,0.0,2,31.5,11.32
2312,DERRYGREENAG,220.0,IE,-6.5697981,53.4746308,False,0,False,0,0.0,0,0.0,0.0
2321,DRUMKEEN,110.0,IE,-7.7722302,54.8631648,True,0,False,0,0.0,0,0.0,0.0
2331,FERRY VIEW,110.0,IE,-9.289752,53.3598717,False,0,True,1,47.3,0,0.0,0.0
2341,CAHERHURLY,110.0,IE,-8.6163685,52.7049873,False,0,False,0,0.0,1,91.2,0.0
2351,EFFERNOGE,110.0,IE,-6.5259745,52.5557691,False,0,False,0,0.0,1,50.0,0.0
2361,ENNIS,110.0,IE,-8.9358728,52.860201,True,0,False,0,0.0,1,19.0,72.91
2391,KILL HILL,110.0,IE,-7.8209426,52.5172741,True,0,True,1,36.0,0,0.0,0.0
2401,MOUNT LUCAS,110.0,IE,-7.2520289,53.262337,True,0,True,1,79.2,0,0.0,0.0
2421,CORKAGH,110.0,IE,-6.4476689,53.3238429,True,0,False,0,0.0,0,0.0,155.84
2441,BELLEWSTOWN,110.0,IE,-6.375773049999999,53.5657691,False,0,False,0,0.0,3,162.0,0.0
2481,FASS EAST,110.0,IE,-6.1967385,53.2562454,False,0,False,0,0.0,0,0.0,66.81
2491,FASS WEST,110.0,IE,-6.1967385,53.2562454,False,0,False,0,0.0,0,0.0,0.0
2521,FLAGFORD,110.0,IE,-8.1238358,53.9116793,True,0,False,0,0.0,0,0.0,0.0
2522,FLAGFORD,220.0,IE,-8.1238358,53.9116793,True,0,False,0,0.0,0,0.0,0.0
2541,FRN ST A,110.0,IE,-6.2623108,53.3357725,False,0,False,0,0.0,0,0.0,56.69
2551,FRN ST B,110.0,IE,-6.319565450000001,53.33946485,False,0,False,0,0.0,0,0.0,0.0
2561,FIN_URBAN,110.0,IE,-6.3257744,53.4124627,True,0,False,0,0.0,0,0.0,0.0
2562,FINGLAS,220.0,IE,-6.3149241,53.4055029,True,0,False,0,0.0,0,0.0,0.0
2563,FINGLAS220B,220.0,IE,-6.3149241,53.4055029,True,0,False,0,0.0,0,0.0,0.0
2571,FIN_RURAL,110.0,IE,-6.3149241,53.4055029,True,0,False,0,0.0,1,8.42,41.04
2581,FINGLAS B5,110.0,IE,-6.3956127,53.41237275,False,0,False,0,0.0,0,0.0,0.0
2591,FORTUNESTOWN,110.0,IE,-6.4171604,53.2829452,True,0,False,0,0.0,0,0.0,17.02
2601,FIRLOUGH,110.0,IE,-9.088614100000001,54.1143034,False,0,True,2,75.6,0,0.0,0.0
2641,GRAHOMICK,110.0,IE,-6.5394499,52.3403641,False,0,False,0,0.0,1,54.8,0.0
2651,GARRINTAGGAR,110.0,IE,-7.342814,52.7988347,False,0,True,1,49.5,0,0.0,0.0
2661,AGHALEAGUE,110.0,IE,-8.1924874,54.1504588,False,0,False,0,0.0,1,40.0,0.0
2671,GARVAGH,110.0,IE,-8.1924874,54.1504588,True,0,True,3,82.0,0,0.0,0.0
2681,GILRA,110.0,IE,-7.9859944,53.9144475,True,0,False,0,0.0,0,0.0,11.42
2691,GARBALLAGH,110.0,IE,-6.4586834,53.6572305,True,0,False,0,0.0,2,143.0,0.0
2701,GLASMORE,110.0,IE,-6.2384064,53.4677716,True,0,True,1,0.5,2,43.99,77.8
2712,GLANSILLAGH,220.0,IE,-9.38132925,52.5843407,False,0,False,0,0.0,1,567.0,0.0
2721,GRIFFINRATH,110.0,IE,-6.5644585,53.3435573,True,0,False,0,0.0,3,59.8,56.49
2731,GLANLEE,110.0,IE,-9.3067693,51.925463,True,0,True,2,29.8,1,7.0,0.0
2741,GREAT ISLAND,110.0,IE,-6.99172,52.2815845,True,0,False,0,0.0,2,16.990000000000002,22.27
2742,GREAT ISLAND,220.0,IE,-6.99172,52.2815845,True,0,True,1,450.0,1,465.5,0.0
2761,GRANGE,110.0,IE,-6.1520925,53.3996226,True,0,False,0,0.0,0,0.0,64.84
2771,GARROW,110.0,IE,-9.131237,52.0026938,True,0,True,4,74.215,0,0.0,0.0
2781,GALWAY,110.0,IE,-9.0132121,53.290063,True,0,False,0,0.0,0,0.0,100.74
2791,GALLANSTOWN,110.0,IE,-6.3653809,53.450696,True,0,False,0,0.0,3,169.5,0.0
2801,GOLAGH,110.0,IE,-7.9351078,54.6871253,True,0,False,0,0.0,1,60.0,0.0
2821,GORTAWEE,110.0,IE,-7.5811846,54.1291946,True,0,True,2,8.0,0,0.0,34.75
2841,GORMAN,110.0,IE,-6.6442071,53.7009328,True,0,False,0,0.0,0,0.0,0.0
2842,GORMAN,220.0,IE,-6.6442071,53.7009328,True,0,False,0,0.0,0,0.0,0.0
2852,GLANAGOW,220.0,IE,-8.2496363,51.8150801,True,0,False,0,0.0,1,445.0,0.0
2861,GRANGE CASTL,110.0,IE,-6.4452964,53.3299746,True,0,False,0,0.0,0,0.0,70.53999999999999
2870,CLOGHER,110.0,IE,-7.9951038,54.6870462,True,0,False,0,0.0,0,0.0,0.0
2871,CLOGHER,110.0,IE,-7.9951038,54.6870462,True,0,False,0,0.0,0,0.0,0.0
2881,GLENLARA,110.0,IE,-9.023808,52.2053487,True,0,True,1,26.0,0,0.0,16.13
2892,GLENCLOOSAGH,220.0,IE,-9.3963977,52.5801792,False,0,False,0,0.0,0,0.0,0.0
2921,HARRISTOWN,110.0,IE,-7.1427122,53.4302536,False,0,False,0,0.0,1,42.3,0.0
2931,WALTERSTOWN,110.0,IE,-6.5211765,53.355297,False,0,False,0,0.0,0,0.0,50.78
2941,HAROLDS CROS,110.0,IE,-6.2754277,53.3290125,True,0,False,0,0.0,0,0.0,20.94
2951,HEUSTON SQUA,110.0,IE,-6.3000097,53.3451523,True,0,False,0,0.0,0,0.0,10.86
2962,HUNTSTOWN,220.0,IE,-6.3249285,53.4109851,True,0,False,0,0.0,2,353.2,0.0
