branch,kind,bus0,bus1,x_pu,susceptance,phase_shift_rad,s_nom,is_phase_shifter,peak_snapshot,peak_flow_MW,max_loading_pct,mean_loading_pct,hours_at_rating,sign,sign_agreement_when_busy,sign_ever_flips
75510-89312-2,Line,75510,89312,0.0002908000000000001,3438.789546079779,0.0,103.0,False,2030-01-16 10:00:00,-3.041451812624274e-11,2.9528658374992955e-11,1.541929938559354e-11,0,-1,,False
75510-89510-1,Line,75510,89510,0.0005288000000000001,1891.0741301059,0.0,166.0,False,2030-01-15 04:00:00,-103.64426415188635,62.43630370595563,24.136235297513135,0,-1,1.0,True
75520-75521-1,Line,75520,75521,2.9999999999999997e-06,333333.3333333334,0.0,837.0,False,2030-01-20 14:00:00,233.96918800944715,27.95330800590766,13.273594319027696,0,1,,False
75520-75522-1,Line,75520,75522,2.9999999999999997e-06,333333.3333333334,0.0,837.0,False,2030-01-20 14:00:00,233.96918800949783,27.95330800591372,13.273594319027874,0,1,,False
75520-75523-1,Line,75520,75523,5.7e-07,1754385.9649122804,0.0,500.0,False,2030-01-15 15:00:00,8.700389714233481e-11,1.7400779428466962e-11,4.825368435599334e-12,0,1,,True
75521-85020-1,Line,75521,85020,0.00023549999999999998,4246.284501061572,0.0,837.0,False,2030-01-20 14:00:00,233.96918800955416,27.953308005920448,13.273594319032455,0,1,,False
75522-85020-2,Line,75522,85020,0.00023549999999999998,4246.284501061572,0.0,837.0,False,2030-01-20 14:00:00,233.96918800955345,27.953308005920363,13.27359431903245,0,1,,False
75610-75611-1,Line,75610,75611,0.00022299999999999997,4484.3049327354265,0.0,200.0,False,2030-01-20 08:00:00,3.652333296910726e-11,1.826166648455363e-11,9.742064375891132e-12,0,1,,False
75710-76011-1,Line,75710,76011,4.7146300000000006e-05,21210.572197606172,0.0,200.0,False,2030-01-17 13:00:00,38.55467090498779,19.277335452493894,15.58890408946533,0,1,,False
75710-76012-2,Line,75710,76012,4.7146300000000006e-05,21210.572197606172,0.0,200.0,False,2030-01-19 16:00:00,9.491780571868299,4.745890285934149,2.697559933004604,0,1,,False
75710-90710-1,Line,75710,90710,8.041320000000002e-06,124357.69251814375,0.0,200.0,False,2030-01-17 13:00:00,-47.60155020955943,23.800775104779714,19.399881615402816,0,-1,,False
75710-90710-2,Line,75710,90710,8.041320000000002e-06,124357.69251814375,0.0,200.0,False,2030-01-17 13:00:00,-47.60155020955943,23.800775104779714,19.399881615402816,0,-1,,False
75810-87901-1,Line,75810,87901,0.0003400000000000001,2941.1764705882347,0.0,124.0,False,2030-01-17 18:00:00,-82.62211125337457,66.63073488175368,34.90757455101399,0,-1,1.0,False
75810-90310-1,Line,75810,90310,0.0011909000000000002,839.7010664203542,0.0,124.0,False,2030-01-15 07:00:00,-34.152862895659254,27.54263136746714,14.127205189947043,0,-1,,True
76511-81010-1,Line,76511,81010,4.5100000000000005e-05,22172.949002217294,0.0,158.0,False,2030-01-17 17:00:00,-105.38294137516274,66.69806416149541,54.999345955367794,0,-1,1.0,False
76511-90710-1,Line,76511,90710,4.250409999999999e-05,23527.142087469212,0.0,200.0,False,2030-01-17 13:00:00,62.28756270760493,31.143781353802463,25.585699321992895,0,1,,False
76512-81010-2,Line,76512,81010,4.5100000000000005e-05,22172.949002217294,0.0,158.0,False,2030-01-17 15:00:00,-84.20051057453486,53.29146238894611,44.0281806299786,0,-1,1.0,False
76512-90710-2,Line,76512,90710,4.250409999999999e-05,23527.142087469212,0.0,200.0,False,2030-01-17 15:00:00,84.20051057455186,42.10025528727593,34.782262697721286,0,1,,False
76513-80012-1,Line,76513,80012,0.0001101,9082.652134423251,0.0,86.0,False,2030-01-17 18:00:00,-51.36999999998767,59.73255813952054,48.846395758318955,0,-1,1.0,False
76514-80011-2,Line,76514,80011,0.00011169999999999998,8952.551477170995,0.0,86.0,False,2030-01-16 10:00:00,3.560707284577802e-11,4.140357307648607e-11,1.9516820238998235e-11,0,1,,True
76810-77210-1,Line,76810,77210,0.0004492000000000001,2226.1798753339267,0.0,200.0,False,2030-01-20 01:00:00,-107.42954288939633,53.71477144469816,25.028640758828978,0,-1,1.0,True
76810-79010-1,Line,76810,79010,0.0008247600000000001,1212.473931810466,0.0,103.0,False,2030-01-17 22:00:00,40.19237376980662,39.02172210660837,17.51220986655714,0,1,,True
76810-79010-2,Line,76810,79010,0.0008247600000000001,1212.473931810466,0.0,103.0,False,2030-01-17 22:00:00,40.19237376980662,39.02172210660837,17.51220986655714,0,1,,True
76810-87510-1,Line,76810,87510,0.00030890000000000003,3237.2936225315634,0.0,200.0,False,2030-01-15 03:00:00,57.23378411659081,28.616892058295406,7.521317590812029,0,1,,True
76810-87510-2,Line,76810,87510,0.0003065,3262.642740619902,0.0,225.0,False,2030-01-15 03:00:00,57.68194425322983,25.636419668102146,6.73796629705083,0,1,,True
77010-90011-1,Line,77010,90011,0.0001448,6906.077348066298,0.0,113.0,False,2030-01-20 09:00:00,31.89471455815468,28.22541111341122,8.123863191490432,0,1,,True
77010-90011-2,Line,77010,90011,0.0001448,6906.077348066298,0.0,113.0,False,2030-01-20 09:00:00,31.89471455815468,28.22541111341122,8.123863191490432,0,1,,True
77010-90011-3,Line,77010,90011,0.000136,7352.941176470588,0.0,126.0,False,2030-01-20 09:00:00,33.95849020603544,26.95118270320273,7.757113625376038,0,1,,True
77010-90310-1,Line,77010,90310,0.000698,1432.6647564469913,0.0,193.0,False,2030-01-20 09:00:00,-87.46001240253587,45.31606860235019,24.33663392480422,0,-1,,False
77010-90310-2,Line,77010,90310,0.0006838,1462.4159110851126,0.0,193.0,False,2030-01-20 09:00:00,-89.27623377737639,46.25711594682714,24.84201591037339,0,-1,,False
77210-77211-1,Line,77210,77211,2.24e-05,44642.857142857145,0.0,50.0,False,2030-01-17 19:00:00,-41.99999999999573,83.99999999999146,20.639075048071838,0,-1,1.0,True
77210-77212-1,Line,77210,77212,2.688e-05,37202.380952380954,0.0,60.0,False,2030-01-20 01:00:00,-46.387986720439706,77.31331120073285,28.597874338492304,0,-1,1.0,True
77511-77512-1,Line,77511,77512,1.0000000000000002e-06,999999.9999999999,0.0,322.0,False,2030-01-20 10:00:00,-51.50028721926154,15.993878018404203,9.12522681086651,0,-1,,False
77511-77512-2,Line,77511,77512,1.0000000000000002e-06,999999.9999999999,0.0,322.0,False,2030-01-20 10:00:00,-51.500287219261544,15.993878018404207,9.12522681086651,0,-1,,False
