branch,bus,ptdf,sensitivity,wind_MW,wind_farms
1021-2341-1,1521,0.0013315579227721752,-0.0013315579227721752,56.4,1
1021-2341-1,1551,0.0013315579226946261,-0.0013315579226946261,169.05,7
1021-2341-1,1571,0.0013315579229068453,-0.0013315579229068453,22.94,3
1021-2341-1,1631,0.0013315579228247165,-0.0013315579228247165,79.60300000000001,12
1021-2341-1,1651,0.0013315579226224616,-0.0013315579226224616,51.599999999999994,2
1021-2341-1,1661,0.0013315579227318186,-0.0013315579227318186,50.44,7
1021-2341-1,1671,0.0013315579227612812,-0.0013315579227612812,75.0,1
1021-2341-1,1751,0.0013315579227121122,-0.0013315579227121122,54.0,2
1021-2341-1,1821,0.0013315579227342056,-0.0013315579227342056,9.24,2
1021-2341-1,1831,0.001331557922740395,-0.001331557922740395,7.99,2
1021-2341-1,1841,0.0013315579227502969,-0.0013315579227502969,7.49,2
1021-2341-1,1881,0.0013315579225591234,-0.0013315579225591234,70.699,7
1021-2341-1,1901,0.0013315579227699617,-0.0013315579227699617,55.74,7
1021-2341-1,1931,0.001331557922816029,-0.001331557922816029,34.8,2
1021-2341-1,1971,0.0013315579227129726,-0.0013315579227129726,81.0,3
1021-2341-1,1991,0.0013315579227507549,-0.0013315579227507549,41.400000000000006,4
1021-2341-1,2101,0.0013315579228254104,-0.0013315579228254104,16.6,2
1021-2341-1,2111,0.0013315579227279328,-0.0013315579227279328,174.0,2
1021-2341-1,2131,0.0013315579226859386,-0.0013315579226859386,28.5,1
1021-2341-1,2141,0.0013315579227347052,-0.0013315579227347052,8.98,2
1021-2341-1,2151,0.0013315579226132468,-0.0013315579226132468,25.2,1
1021-2341-1,2171,0.0013315579227430596,-0.0013315579227430596,33.6,1
1021-2341-1,2181,0.0013315579228199148,-0.0013315579228199148,5.949999999999999,4
1021-2341-1,2221,0.0013315579226739205,-0.0013315579226739205,27.17,4
1021-2341-1,2225,0.0013315579226739205,-0.0013315579226739205,22.95,2
1021-2341-1,2231,0.001331557922626736,-0.001331557922626736,59.5,1
1021-2341-1,2241,0.0013315579227098362,-0.0013315579227098362,26.03,5
1021-2341-1,2281,0.0013315579226855744,-0.0013315579226855744,40.8,1
1021-2341-1,2331,0.001331557922742116,-0.001331557922742116,47.3,1
