outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1042-10422-1,94,True,Line,1,3581-89516-1,Line,1.223,100.99,5470.0,1,4.569,26,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,101,True,Line,1,1122-11260-1,Line,0.592,100.12,5965.5,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,108,True,Line,2,3581-89516-1,Line,1.815,100.99,7006.9,1,5.252,21,0,0.0,0,0.0,0.0,100.1,1,525.021,3,1,1.111,0,0.0,100.89,100.89,0,0.0,0,0,0.0,0,1.815,0.0,100.99,1,2.264,2,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,116,True,Line,1,3581-89516-1,Line,1.223,100.99,4604.0,1,3.193,7,0,0.0,0,0.0,0.0,100.1,1,2.722,1,0,0.0,0,0.0,0.0,100.1,1,2.722,1,0,0.0,0,0.0,0.0,100.1,1,2.722,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,123,True,Line,1,3581-89516-1,Line,1.223,100.99,5593.8,1,2.924,13,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,130,True,Line,1,3581-89516-1,Line,1.223,100.99,5592.5,1,2.901,13,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,137,True,Line,2,2781-4951-1,Line,2.538,101.24,5053.5,0,5.274,15,0,0.0,0,0.128,0.0,100.12,1,4.184,2,0,0.0,0,0.0,0.0,100.1,0,1.491,1,0,0.0,0,1.204,0.0,100.98,1,4.183,2,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,145,True,Line,1,3581-89516-1,Line,1.223,100.99,4124.9,1,4.247,26,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,152,True,Line,1,3581-89516-1,Line,1.223,100.99,4161.2,1,3.862,25,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,159,True,Line,1,3581-89516-1,Line,1.223,100.99,5313.0,1,3.787,25,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,167,True,Line,1,3581-89516-1,Line,1.223,100.99,3161.9,1,3.494,26,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1
