outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1031-1181-1,108,False,Line,1,3581-89516-1,Line,0.536,100.44,7006.9,1,1.919,20,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,123,False,Line,1,3581-89516-1,Line,0.966,100.79,5593.8,1,2.228,13,0,0.0,0,0.0,0.0,100.1,1,1.662,1,0,0.0,0,0.0,0.0,100.1,1,1.662,1,0,0.0,0,0.0,0.0,100.1,1,1.662,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,130,False,Line,1,3581-89516-1,Line,1.441,101.17,5592.5,1,3.456,13,0,0.0,0,0.0,0.0,100.1,1,2.599,1,0,0.0,0,0.0,0.0,100.1,1,2.599,1,0,0.0,0,0.0,0.0,100.1,1,2.599,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,137,False,Line,1,3581-89516-1,Line,0.335,100.27,5053.5,1,0.738,11,0,0.0,0,0.0,0.0,100.1,1,0.523,1,0,0.0,0,0.0,0.0,100.1,1,0.523,1,0,0.0,0,0.0,0.0,100.1,1,0.523,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,145,False,Line,1,3581-89516-1,Line,1.693,101.38,4124.9,1,6.013,26,0,0.0,0,0.0,0.0,100.1,1,3.096,1,0,0.0,0,0.0,0.0,100.1,1,3.096,1,0,0.0,0,0.0,0.0,100.1,1,3.096,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,152,False,Line,1,3581-89516-1,Line,1.968,101.6,4161.2,1,6.431,25,0,0.0,0,0.0,0.0,100.1,1,3.639,1,0,0.0,0,0.0,0.0,100.1,1,3.639,1,0,0.0,0,0.0,0.0,100.1,1,3.639,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,159,False,Line,1,3581-89516-1,Line,1.348,101.1,5313.0,1,4.187,25,2,1.11,0,0.0,100.11,100.11,1,2.416,1,2,1.071,0,0.0,100.11,100.11,1,9.797,3,0,0.0,0,0.0,0.0,100.1,1,2.618,2,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,167,False,Line,1,3581-89516-1,Line,1.022,100.83,3161.9,1,2.837,26,0,0.0,0,0.0,0.0,100.1,1,1.772,1,0,0.0,0,0.0,0.0,100.1,1,1.772,1,0,0.0,0,0.0,0.0,100.1,1,1.772,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,0,False,Line,1,3581-89516-1,Line,0.198,100.16,5299.5,1,0.188,13,0,0.0,0,0.0,0.0,100.1,1,0.147,1,0,0.0,0,0.0,0.0,100.1,1,0.147,1,0,0.0,0,0.0,0.0,100.1,1,0.147,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,21,False,Line,1,3581-89516-1,Line,0.203,100.17,4735.3,1,0.223,7,0,0.0,0,0.0,0.0,100.1,1,0.197,1,0,0.0,0,0.0,0.0,100.1,1,0.197,1,0,0.0,0,0.0,0.0,100.1,1,0.197,1,0,0.0,0,0.0,0.0,100.1,1
